year,name,artists,acousticness,danceability,energy,liveness,speechiness,weight
2010,Get MuNNY,['Erykah Badu'],0.162,0.791,0.592,0.623,0.0474,0
2010,Swim Until You Can't See Land,['Frightened Rabbit'],0.0438,0.347,0.874,0.116,0.0351,0
2010,Draw Your Swords,['Angus & Julia Stone'],0.167,0.694,0.303,0.0831,0.0275,0
2010,No Quiero Saber - 1996 Version,['Selena'],0.0256,0.778,0.815,0.248,0.0398,0
2010,Nobody,['Wonder Girls'],0.161,0.901,0.74,0.155,0.0751,0
2010,La Gente Del Chapo,['Los Alegres Del Barranco'],0.442,0.804,0.762,0.108,0.0674,0
2010,Shreveport,['Turnpike Troubadours'],0.0118,0.554,0.797,0.274,0.0307,0
2010,Africa,['TOTO'],0.415,0.668,0.43,0.0569,0.0311,0
2010,One More Night In Brooklyn,['Justin Townes Earle'],0.52,0.762,0.376,0.108,0.0396,0
2010,The Masochism Tango,['Tom Lehrer'],0.701,0.55,0.383,0.0955,0.115,0
2010,Night by Night,['Chromeo'],0.00646,0.684,0.896,0.0924,0.0349,0
2010,American Slang,['The Gaslight Anthem'],0.000243,0.56,0.821,0.144,0.0325,0
2010,There's Your Trouble,['The Chicks'],0.502,0.738,0.791,0.308,0.026,0
2010,Kansas City Southern,['Turnpike Troubadours'],0.0166,0.571,0.802,0.14,0.0258,0
2010,Down On Me,"['Jeremih', '50 Cent']",0.0369,0.7,0.598,0.111,0.114,0
2010,All I Want Is You,['Mac Miller'],0.113,0.589,0.768,0.129,0.205,0
2010,Eye of the Tiger,['Survivor'],0.236,0.821,0.477,0.0771,0.0349,0
2010,Me Duele,['Roberto Tapia'],0.353,0.698,0.566,0.0683,0.0444,0
2010,Reach For The Stars - Opening Theme - Vocals by Jean Paul Makhlouf of Cash Cash,"['SEGA SOUND TEAM', 'Tomoya Ohtani']",0.0000866,0.445,0.978,0.291,0.0896,0
2010,My Body Is A Cage,['Peter Gabriel'],0.851,0.341,0.114,0.104,0.0342,0
2010,I'm In Here,['Sia'],0.0582,0.564,0.784,0.114,0.0568,0
2010,Left Of Me,['The Lacs'],0.199,0.705,0.675,0.274,0.043,0
2010,Olvídala,['Conjunto Atardecer'],0.14,0.518,0.759,0.133,0.0404,0
2010,Like It's Her Birthday,['Good Charlotte'],0.00884,0.592,0.868,0.144,0.0679,0
2010,I Put a Spell on You (feat. Joss Stone),"['Jeff Beck', 'Joss Stone']",0.433,0.681,0.335,0.219,0.0865,0
2010,Happily Ever After,['He Is We'],0.0267,0.569,0.706,0.0947,0.0265,0
2011,We Are The Champions - Remastered 2011,['Queen'],0.378,0.268,0.459,0.119,0.0346,0
2011,Violin,['Amos Lee'],0.705,0.459,0.341,0.291,0.0285,0
2011,The Duck Song (The Duck and the Lemonade Stand),['Bryant Oden'],0.911,0.455,0.522,0.171,0.119,0
2011,Casi q' me pierdo,['Los Cafres'],0.0216,0.697,0.638,0.103,0.091,0
2011,Goodbye (with Soap & Skin),"['Apparat', 'Soap&Skin']",0.444,0.469,0.449,0.334,0.0512,0
2011,"Do Right Woman, Do Right Man",['Etta James'],0.581,0.449,0.412,0.452,0.0297,0
2011,Pink Fluffy Unicorns Dancing On Rainbows,['Songs To Wear Pants To'],0.29,0.964,0.554,0.0911,0.0598,0
2011,I'm Yours,['Vitamin String Quartet'],0.673,0.675,0.134,0.158,0.0402,0
2011,Spooks,['Dance Gavin Dance'],0.000371,0.166,0.988,0.167,0.23,0
2011,Deep Theta 7 Hz,['Steven Halpern'],0.989,0.213,0.00667,0.0918,0.0418,0
2011,Danza Kuduro,"['Don Omar', 'Lucenzo']",0.0866,0.701,0.896,0.0572,0.0814,0
2011,Life's A Happy Song,"['Mickey Rooney', 'Feist', 'Amy Adams', 'Jason Segel', 'Walter']",0.452,0.631,0.545,0.266,0.127,0
2011,Ajustando Cuentas,"['Diana Reyes', 'Jenni Rivera']",0.68,0.75,0.718,0.204,0.0356,0
2011,"If You Think This Song Is About You, It Probably Is",['Destroy Rebuild Until God Shows'],0.00279,0.597,0.97,0.354,0.161,0
2011,Pvp,['Ken Ashcorp'],0.00333,0.565,0.574,0.291,0.0789,0
2011,Holy Is The Lord,['Chris Tomlin'],0.000992,0.467,0.708,0.238,0.0269,0
2011,We Wish You a Merry Christmas (Live),['The Oscar Brown Jazz Trio'],0.708,0.519,0.429,0.0929,0.0397,0
2011,給我一個理由忘記,['A-Lin'],0.583,0.399,0.512,0.104,0.0357,0
2011,Gangsta Sexy,['Hollywood Undead'],0.000215,0.677,0.859,0.331,0.0701,0
2011,The Show Goes On,['Lupe Fiasco'],0.0388,0.625,0.856,0.163,0.121,0
2011,Going Down - Radio Edit,['Eden James'],0.0543,0.522,0.866,0.108,0.0339,0
2011,Real In Rio,"['Jesse Eisenberg', 'Jamie Foxx', 'Anne Hathaway', 'George Lopez', 'will.i.am', 'The Rio Singers']",0.198,0.525,0.718,0.298,0.363,0
2011,Start Over,['Beyoncé'],0.193,0.474,0.797,0.322,0.191,0
2011,Everything Goes My Way,['Metronomy'],0.102,0.864,0.558,0.178,0.0399,0
2011,I Gotta Go,['Robert Earl Keen'],0.206,0.754,0.781,0.248,0.0353,0
2011,The Resurrection Stone,['Alexandre Desplat'],0.876,0.159,0.0428,0.0976,0.0407,0
2011,Bernadette,['IAMX'],0.175,0.168,0.684,0.0886,0.0425,0
2011,Change On Me,['Cynthia'],0.00187,0.649,0.648,0.106,0.0458,0
2011,BTSTU - Edit,['Jai Paul'],0.784,0.658,0.38,0.426,0.438,0
2011,Lover To Lover,['Florence + The Machine'],0.0909,0.588,0.809,0.347,0.0309,0
2011,"Violin Concerto in E Minor, Op. 64, MWV O 14: 1. Allegro molto appassionato","['Felix Mendelssohn', 'Kyung Wha Chung', 'Orchestre Symphonique de Montréal', 'Charles Dutoit']",0.919,0.287,0.145,0.0987,0.0406,0
2011,Lead Me To The Cross,['Hillsong UNITED'],0.0479,0.411,0.558,0.0977,0.0295,0
2011,"Flor Hermosa (Eres Flor, Eres Hermosa)",['Los Originales De San Juan'],0.339,0.452,0.787,0.59,0.189,0
